Month,Deaths_count
01-01-2003,27
02-01-2003,23
03-01-2003,30
04-01-2003,27
05-01-2003,27
06-01-2003,29
07-01-2003,43
08-01-2003,41
09-01-2003,30
10-01-2003,36
11-01-2003,29
12-01-2003,24
01-01-2004,26
02-01-2004,30
03-01-2004,35
04-01-2004,28
05-01-2004,31
06-01-2004,35
07-01-2004,31
08-01-2004,28
09-01-2004,25
10-01-2004,23
11-01-2004,22
12-01-2004,26
01-01-2005,37
02-01-2005,33
03-01-2005,33
04-01-2005,34
05-01-2005,37
06-01-2005,36
07-01-2005,38
08-01-2005,45
09-01-2005,30
10-01-2005,41
11-01-2005,37
12-01-2005,43
01-01-2006,25
02-01-2006,30
03-01-2006,49
04-01-2006,23
05-01-2006,43
06-01-2006,46
07-01-2006,33
08-01-2006,44
09-01-2006,31
10-01-2006,33
11-01-2006,35
12-01-2006,44
01-01-2007,34
02-01-2007,31
03-01-2007,37
04-01-2007,46
05-01-2007,40
06-01-2007,47
07-01-2007,47
08-01-2007,43
09-01-2007,35
10-01-2007,36
11-01-2007,33
12-01-2007,39
01-01-2008,54
02-01-2008,37
03-01-2008,38
04-01-2008,47
05-01-2008,40
06-01-2008,41
07-01-2008,29
08-01-2008,43
09-01-2008,36
10-01-2008,32
11-01-2008,37
12-01-2008,57
01-01-2009,47
02-01-2009,34
03-01-2009,45
04-01-2009,42
05-01-2009,45
06-01-2009,46
07-01-2009,40
08-01-2009,43
09-01-2009,44
10-01-2009,44
11-01-2009,44
12-01-2009,55
01-01-2010,40
02-01-2010,55
03-01-2010,53
04-01-2010,45
05-01-2010,60
06-01-2010,52
07-01-2010,44
08-01-2010,37
09-01-2010,46
10-01-2010,42
11-01-2010,42
12-01-2010,55
01-01-2011,52
02-01-2011,45
03-01-2011,47
04-01-2011,46
05-01-2011,41
06-01-2011,42
07-01-2011,54
08-01-2011,36
09-01-2011,49
10-01-2011,42
11-01-2011,54
12-01-2011,48
01-01-2012,41
02-01-2012,37
03-01-2012,48
04-01-2012,53
05-01-2012,45
06-01-2012,46
07-01-2012,62
08-01-2012,49
09-01-2012,40
10-01-2012,51
11-01-2012,58
12-01-2012,55
01-01-2013,46
02-01-2013,59
03-01-2013,58
04-01-2013,53
05-01-2013,56
06-01-2013,57
07-01-2013,64
08-01-2013,56
09-01-2013,49
10-01-2013,43
11-01-2013,52
12-01-2013,46
01-01-2014,65
02-01-2014,47
03-01-2014,58
04-01-2014,45
05-01-2014,53
06-01-2014,59
07-01-2014,56
08-01-2014,73
09-01-2014,61
10-01-2014,50
11-01-2014,55
12-01-2014,54
01-01-2015,58
02-01-2015,50
03-01-2015,69
04-01-2015,71
05-01-2015,55
06-01-2015,73
07-01-2015,61
08-01-2015,61
09-01-2015,50
10-01-2015,66
11-01-2015,54
12-01-2015,60
01-01-2016,72
02-01-2016,65
03-01-2016,77
04-01-2016,80
05-01-2016,61
06-01-2016,77
07-01-2016,63
08-01-2016,69
09-01-2016,63
10-01-2016,68
11-01-2016,101
12-01-2016,71
01-01-2017,72
02-01-2017,83
03-01-2017,83
04-01-2017,97
05-01-2017,95
06-01-2017,119
07-01-2017,132
08-01-2017,140
09-01-2017,142
10-01-2017,92
11-01-2017,110
12-01-2017,100
01-01-2018,96
02-01-2018,84
03-01-2018,127
04-01-2018,96
05-01-2018,118
06-01-2018,111
07-01-2018,116
08-01-2018,138
09-01-2018,140
10-01-2018,137
11-01-2018,161
12-01-2018,149
01-01-2019,134
02-01-2019,137
03-01-2019,178
04-01-2019,173
05-01-2019,158
06-01-2019,125
07-01-2019,92
08-01-2019,79
09-01-2019,63
